Time,CPU (Tctl/Tdie) [°C]
11:50:14.414,59.6
11:50:16.413,58.6
11:50:18.411,57.8
11:50:20.414,57.4
11:50:22.416,57.0
11:50:24.414,56.8
11:50:26.410,56.5
11:50:28.415,56.5
11:50:30.411,56.2
11:50:32.414,56.0
11:50:34.413,55.9
11:50:37.823,55.4
11:50:39.800,55.6
11:50:41.803,55.6
11:50:43.805,55.5
11:50:45.804,56.0
11:50:47.800,55.8
11:50:49.803,55.8
11:50:51.801,55.1
11:50:53.803,55.1
11:50:55.800,54.9
11:50:57.804,54.6
11:50:59.802,54.8
11:51:1.802,55.1
11:51:3.800,55.2
11:51:5.804,55.0
11:51:7.846,54.6
11:51:9.832,54.2
11:51:11.837,54.0
11:51:13.835,53.9
11:51:15.837,55.0
11:51:17.835,55.4
11:51:19.833,54.8
11:51:21.833,54.9
11:51:23.837,54.2
11:51:25.834,53.8
11:51:27.837,53.5
11:51:29.835,53.5
11:51:31.837,53.4
11:51:33.833,53.5
11:51:35.832,54.4
11:51:37.832,55.2
11:51:39.836,54.0
11:51:41.834,53.2
11:51:43.836,53.0
11:51:45.833,52.8
11:51:47.837,52.6
11:51:49.833,52.6
11:51:51.836,53.1
11:51:53.831,53.0
11:51:55.832,53.0
11:51:57.831,52.6
11:51:59.831,52.4
11:52:1.833,52.2
11:52:3.830,52.2
11:52:5.832,52.4
11:52:7.830,52.8
11:52:9.834,52.8
11:52:11.832,53.0
11:52:13.834,52.9
11:52:15.836,53.2
11:52:17.834,53.2
11:52:19.832,53.0
11:52:21.834,52.9
11:52:23.831,52.5
11:52:25.833,52.1
11:52:27.831,52.0
11:52:29.834,51.9
11:52:31.838,51.8
11:52:33.831,51.8
11:52:35.831,51.8
11:52:37.835,51.9
11:52:39.831,51.8
11:52:41.835,51.6
11:52:43.838,51.5
11:52:45.834,52.2
11:52:47.838,52.1
11:52:49.834,51.8
11:52:51.832,51.5
11:52:53.833,51.5
11:52:55.831,51.5
11:52:57.835,51.4
11:52:59.832,51.2
11:53:1.852,51.4
11:53:3.850,51.2
11:53:5.853,51.1
11:53:7.849,51.1
11:53:9.848,51.1
11:53:11.849,51.6
11:53:13.847,51.9
11:53:15.849,52.0
11:53:17.847,51.6
11:53:19.850,51.2
11:53:21.848,51.0
11:53:23.850,50.9
11:53:25.848,50.8
11:53:27.850,51.5
11:53:29.847,51.6
11:53:31.848,51.4
11:53:33.846,50.9
11:53:35.848,51.4
11:53:37.848,51.0
11:53:39.850,51.1
11:53:41.847,50.9
11:53:43.850,50.6
11:53:45.846,50.5
11:53:47.850,50.4
11:53:49.847,50.4
11:53:51.847,50.4
11:53:53.847,50.4
11:53:55.849,50.5
11:53:57.851,52.8
11:53:59.848,52.1
11:54:1.848,51.2
11:54:3.849,50.8
11:54:5.849,50.5
11:54:7.856,50.4
11:54:9.849,50.2
11:54:11.853,50.2
11:54:13.851,50.1
11:54:15.852,50.1
11:54:17.849,50.1
11:54:19.853,50.0
11:54:21.848,50.0
11:54:23.849,50.0
11:54:25.848,50.0
11:54:27.852,50.1
11:54:29.848,49.9
11:54:31.848,49.9
11:54:33.849,49.8
11:54:35.848,50.0
11:54:37.848,51.0
11:54:39.851,50.4
11:54:41.849,50.0
11:54:43.851,50.1
11:54:45.848,50.0
11:54:47.848,50.2
11:54:49.849,50.1
11:54:51.852,50.0
11:54:53.849,49.8
11:54:55.856,49.8
11:54:57.849,49.6
11:54:59.848,49.6
11:55:1.849,49.6
11:55:3.851,49.5
11:55:5.849,49.5
11:55:7.854,49.4
11:55:9.849,49.4
11:55:11.852,49.4
11:55:13.851,49.4
11:55:15.854,50.1
11:55:17.846,50.4
11:55:19.854,50.4
11:55:21.849,50.1
11:55:23.851,50.0
11:55:25.851,49.6
11:55:27.847,49.5
11:55:29.850,49.4
11:55:31.854,49.4
11:55:33.851,49.2
11:55:35.863,49.5
11:55:37.848,49.2
11:55:39.853,49.1
11:55:41.850,49.4
11:55:43.852,49.5
11:55:45.849,49.5
11:55:47.852,49.2
11:55:49.847,49.1
11:55:51.853,49.1
11:55:53.849,49.0
11:55:55.848,49.1
11:55:57.851,49.0
11:55:59.854,49.4
11:56:1.849,49.4
11:56:3.852,49.2
11:56:5.849,49.1
11:56:7.853,49.0
11:56:9.850,48.9
11:56:11.847,48.9
11:56:13.848,48.9
11:56:15.852,48.9
11:56:17.853,48.9
11:56:19.847,48.9
11:56:21.850,48.9
11:56:23.854,48.9
11:56:25.849,49.1
11:56:27.847,49.5
11:56:29.850,49.2
11:56:31.846,49.1
11:56:33.849,49.2
Time,CPU (Tctl/Tdie) [°C]
,CPU [#0]: AMD Ryzen 5 6600H: Enhanced
